year,month,stop_name,lowbound_tot_ons,highbound_tot_ons,lowbound_avg_daily_ons,highbound_avg_daily_ons
2023,1,Ball Square,21700,42200,700,1400
2023,1,East Somerville,4500,9900,100,300
2023,1,Gilman Square,27200,54500,900,1800
2023,1,Government Center,398600,398600,12900,12900
2023,1,Haymarket,83000,83000,2700,2700
2023,1,Lechmere,49200,83000,1600,2700
2023,1,Magoun Square,14300,40400,500,1300
2023,1,Medford/Tufts,23800,33000,800,1100
2023,1,North Station,182000,182000,5900,5900
2023,1,Science Park/West End,17100,17100,600,600
2023,1,Union Square,22500,67600,700,2200
2023,2,Ball Square,16700,32400,600,1200
2023,2,East Somerville,3500,7700,100,300
2023,2,Gilman Square,20000,40100,700,1400
2023,2,Government Center,368800,368800,13200,13200
2023,2,Haymarket,75700,75700,2700,2700
2023,2,Lechmere,43900,74200,1600,2600
2023,2,Magoun Square,12100,34200,400,1200
2023,2,Medford/Tufts,19200,26600,700,1000
2023,2,North Station,168200,168200,6000,6000
2023,2,Science Park/West End,20500,20500,700,700
2023,2,Union Square,18500,55600,700,2000
2023,3,Ball Square,20000,38800,600,1300
2023,3,East Somerville,4700,10500,200,300
2023,3,Gilman Square,26500,53000,900,1700
2023,3,Government Center,434700,434700,14000,14000
2023,3,Haymarket,111300,111300,3700,3700
2023,3,Lechmere,67300,113600,2200,3700
2023,3,Magoun Square,13900,39300,400,1300
2023,3,Medford/Tufts,21200,29400,700,900
2023,3,North Station,201200,201200,6500,6500
2023,3,Science Park/West End,18100,18100,600,600
2023,3,Union Square,30400,91200,1000,2900
2023,4,Ball Square,21100,40900,700,1400
2023,4,East Somerville,5000,11100,200,400
2023,4,Gilman Square,23900,47700,800,1600
2023,4,Government Center,466000,466000,15500,15500
2023,4,Haymarket,119600,119600,4000,4000
2023,4,Lechmere,64800,109300,2200,3600
2023,4,Magoun Square,14100,39800,500,1300
2023,4,Medford/Tufts,22400,31200,700,1000
2023,4,North Station,208800,208800,7000,7000
2023,4,Science Park/West End,26300,26300,900,900
2023,4,Union Square,31200,93600,1000,3100
2023,5,Ball Square,19400,37700,600,1200
2023,5,East Somerville,5600,12500,200,400
2023,5,Gilman Square,21100,42100,700,1400
2023,5,Government Center,495300,495300,16000,16000
2023,5,Haymarket,118900,118900,4000,4000
2023,5,Lechmere,68800,116200,2200,3700
2023,5,Magoun Square,13500,38100,400,1200
2023,5,Medford/Tufts,26200,36300,800,1200
2023,5,North Station,201900,201900,6500,6500
2023,5,Science Park/West End,25100,25100,800,800
2023,5,Union Square,37600,112700,1200,3600
2023,6,Ball Square,9800,19100,400,700
2023,6,East Somerville,2600,5900,100,200
2023,6,Gilman Square,16000,32000,600,1200
2023,6,Government Center,473500,473500,15800,15800
2023,6,Haymarket,55100,55100,2100,2100
2023,6,Lechmere,39200,66200,1500,2500
